duration,month,hour,day_of_week,user_type
15.433333333333334,3,,Thursday,Subscriber
3.3,3,,Thursday,Subscriber
2.066666666666667,3,,Thursday,Subscriber
19.683333333333334,3,,Thursday,Subscriber
10.933333333333334,3,,Thursday,Subscriber
19.0,3,,Thursday,Subscriber
6.966666666666667,3,,Thursday,Subscriber
17.033333333333335,3,,Thursday,Subscriber
6.116666666666666,3,,Thursday,Subscriber
6.316666666666666,3,,Thursday,Subscriber
11.3,3,,Thursday,Subscriber
8.3,3,,Thursday,Subscriber
8.283333333333333,3,,Thursday,Subscriber
36.03333333333333,3,,Thursday,Subscriber
5.833333333333333,3,,Thursday,Subscriber
5.35,3,,Thursday,Subscriber
6.416666666666667,3,,Thursday,Subscriber
12.133333333333333,3,,Thursday,Subscriber
2.533333333333333,3,,Thursday,Subscriber
8.7,3,,Thursday,Subscriber
6.933333333333334,3,,Thursday,Subscriber
13.716666666666667,3,,Thursday,Subscriber
20.066666666666666,3,,Thursday,Subscriber
21.816666666666666,3,,Thursday,Customer
14.283333333333333,3,,Thursday,Subscriber
6.266666666666667,3,,Thursday,Subscriber
10.3,3,,Thursday,Subscriber
4.733333333333333,3,,Thursday,Subscriber
9.116666666666667,3,,Thursday,Subscriber
4.266666666666667,3,,Thursday,Subscriber
7.8,3,,Thursday,Subscriber
9.716666666666667,3,,Thursday,Subscriber
2.466666666666667,3,,Thursday,Subscriber
14.566666666666666,3,,Thursday,Subscriber
4.75,3,,Thursday,Subscriber
9.35,3,,Thursday,Subscriber
4.533333333333333,3,,Thursday,Subscriber
5.25,3,,Thursday,Subscriber
14.433333333333334,3,,Thursday,Subscriber
22.316666666666666,3,,Thursday,Customer
20.916666666666668,3,,Thursday,Subscriber
9.733333333333333,3,,Thursday,Subscriber
6.183333333333334,3,,Thursday,Subscriber
10.333333333333334,3,,Thursday,Subscriber
29.8,3,,Thursday,Subscriber
2.4833333333333334,3,,Thursday,Subscriber
12.183333333333334,3,,Thursday,Subscriber
10.383333333333333,3,,Thursday,Subscriber
14.216666666666667,3,,Thursday,Subscriber
5.866666666666666,3,,Thursday,Subscriber
12.75,3,,Thursday,Subscriber
10.7,3,,Thursday,Subscriber
6.583333333333333,3,,Thursday,Subscriber
14.016666666666667,3,,Thursday,Subscriber
5.65,3,,Thursday,Subscriber
8.116666666666667,3,,Thursday,Subscriber
19.05,3,,Thursday,Subscriber
12.283333333333333,3,,Thursday,Subscriber
8.483333333333333,3,,Thursday,Subscriber
10.016666666666667,3,,Thursday,Subscriber
4.383333333333334,3,,Thursday,Subscriber
9.033333333333333,3,,Thursday,Subscriber
18.033333333333335,3,,Thursday,Subscriber
26.366666666666667,3,,Thursday,Customer
3.433333333333333,3,,Thursday,Subscriber
12.333333333333334,3,,Thursday,Customer
16.616666666666667,3,,Thursday,Subscriber
2.85,3,,Thursday,Subscriber
37.75,3,,Thursday,Subscriber
25.7,3,,Thursday,Customer
11.45,3,,Thursday,Subscriber
11.366666666666667,3,,Thursday,Subscriber
8.783333333333333,3,,Thursday,Subscriber
30.5,3,,Thursday,Subscriber
29.583333333333332,3,,Thursday,Customer
23.666666666666668,3,,Thursday,Subscriber
3.8666666666666667,3,,Thursday,Subscriber
3.1,3,,Thursday,Subscriber
10.666666666666666,3,,Thursday,Customer
16.583333333333332,3,,Thursday,Subscriber
24.8,3,,Thursday,Customer
10.05,3,,Thursday,Subscriber
5.9,3,,Thursday,Customer
25.733333333333334,3,,Thursday,Subscriber
3.5,3,,Thursday,Subscriber
189.93333333333334,3,,Thursday,Subscriber
6.0,3,,Thursday,Subscriber
1.1,3,,Thursday,Subscriber
26.166666666666668,3,,Thursday,Customer
91.3,3,,Thursday,Customer
5.25,3,,Thursday,Subscriber
7.833333333333333,3,,Thursday,Subscriber
